Bus,ZoneBus,latitude,longitude,Country
Swi_1,Swi,47.449075155,7.72068228167,Switzerland
Swi_2,Swi,47.3361462569,7.19294398711,Switzerland
Swi_3,Swi,47.4462710393,7.98087327457,Switzerland
Swi_4,Swi,46.7066659581,10.4672817011,Switzerland
Swi_5,Swi,46.1063851162,7.23902222643,Switzerland
Swi_6,Swi,46.1688966468,6.13282074009,Switzerland
Swi_7,Swi,47.4639554528,9.10189060532,Switzerland
Swi_8,Swi,47.1327816982,9.09434442152,Switzerland
Swi_9,Swi,47.2387476342,7.82858382897,Switzerland
Swi_10,Swi,47.232267953,7.60478604718,Switzerland
Swi_11,Swi,47.1384603771,8.06012868971,Switzerland
Swi_12,Swi,47.0725689024,8.73072265285,Switzerland
Swi_13,Swi,47.0761369406,8.35043609286,Switzerland
Swi_14,Swi,47.0388042159,7.68471061437,Switzerland
Swi_15,Swi,46.9602005355,7.26292041109,Switzerland
Swi_16,Swi,47.4480500345,8.16420772287,Switzerland
Swi_17,Swi,46.7810312598,8.96618742717,Switzerland
Swi_18,Swi,46.7224004375,9.33619331663,Switzerland
Swi_19,Swi,46.6728527105,8.73108127973,Switzerland
Swi_20,Swi,46.6498918516,8.96890704346,Switzerland
Swi_21,Swi,46.5181752968,10.1737867698,Switzerland
Swi_22,Swi,46.5331156285,9.65397901156,Switzerland
Swi_23,Swi,46.5986444345,8.21821531363,Switzerland
Swi_24,Swi,46.5194680509,8.75501717052,Switzerland
Swi_25,Swi,46.6085468066,7.58639379336,Switzerland
Swi_26,Swi,46.3725426885,8.98081589686,Switzerland
Swi_27,Swi,46.5076083652,7.12849989537,Switzerland
Swi_28,Swi,46.3691566957,8.60807859078,Switzerland
Swi_29,Swi,46.2377741551,10.108432865,Switzerland
Swi_30,Swi,46.55788086,6.37915876659,Switzerland
Swi_31,Swi,46.4514280722,7.37261291232,Switzerland
Swi_32,Swi,46.2761084606,8.90624722108,Switzerland
Swi_33,Swi,46.4310559955,6.98573383437,Switzerland
Swi_34,Swi,46.2218899572,9.2510710555,Switzerland
Swi_35,Swi,46.3079597507,8.1433398309,Switzerland
Swi_36,Swi,46.1785215252,8.6505207383,Switzerland
Swi_37,Swi,47.366256939,8.64697711525,Switzerland
Swi_38,Swi,46.240313183,7.63263057748,Switzerland
Swi_39,Swi,46.0860070362,9.10129923608,Switzerland
Swi_40,Swi,46.2486584605,7.06131900981,Switzerland
Swi_41,Swi,46.1449383998,7.92440202417,Switzerland
Swi_42,Swi,45.9992958905,9.02314217017,Switzerland
Swi_43,Swi,46.1231149577,6.91288575751,Switzerland
Swi_44,Swi,47.3169022257,8.43732374998,Switzerland
Swi_45,Swi,47.3603066772,7.85221697965,Switzerland
Swi_46,Swi,47.1947686575,9.45798931,Switzerland
Swi_47,Swi,47.3658015422,7.55934983378,Switzerland
Slv_1,Slv,46.5448325379,15.7979029132,Slovenia
Slv_2,Slv,46.4072741811,15.761697425,Slovenia
Slv_3,Slv,46.2712801749,15.1410642512,Slovenia
Slv_4,Slv,46.24431195,14.3770659113,Slovenia
Slv_5,Slv,46.0733736756,14.6649642302,Slovenia
Slv_6,Slv,45.991300869,15.6336808636,Slovenia
Slv_7,Slv,45.7716343269,14.2440804883,Slovenia
Slk_1,Slk,49.0797468743,21.8965061775,Slovakia
Slk_2,Slk,49.2668023109,21.4481977129,Slovakia
Slk_3,Slk,49.0502289098,20.9162361544,Slovakia
Slk_4,Slk,48.9638105122,20.6769996976,Slovakia
Slk_5,Slk,49.0952469052,18.1720456375,Slovakia
Slk_6,Slk,48.92706266,19.107559739,Slovakia
Slk_7,Slk,48.7895797344,17.6773984555,Slovakia
Slk_8,Slk,48.7185243707,18.2802120758,Slovakia
Slk_9,Slk,48.6225229242,19.7603779652,Slovakia
Slk_10,Slk,48.6136483892,18.5115472967,Slovakia
Slk_11,Slk,48.6378042719,17.1070563979,Slovakia
Slk_12,Slk,48.3803284572,18.2137213782,Slovakia
Slk_13,Slk,49.218282839,20.8546078565,Slovakia
Slk_14,Slk,48.3563412053,18.4639627767,Slovakia
Slk_15,Slk,48.3786064568,17.4963136655,Slovakia
Slk_16,Slk,48.3144618388,16.9334853013,Slovakia
Slk_17,Slk,48.1115270884,17.088988023,Slovakia
Slk_18,Slk,48.0255400547,17.5743649477,Slovakia
Slk_19,Slk,49.2898020618,19.0958091906,Slovakia
Slk_20,Slk,49.164837915,20.206211444,Slovakia
Slk_21,Slk,49.1574929589,19.6193442368,Slovakia
Slk_22,Slk,49.0839015025,21.5544764485,Slovakia
Slk_23,Slk,49.2048292832,18.6073584067,Slovakia
Slk_24,Slk,49.1231531114,19.1726714905,Slovakia
Slk_25,Slk,49.1020176804,18.7504013626,Slovakia
Rom_1,Rom,45.788686416,28.7105816986,Romania
Rom_2,Rom,46.2730290563,23.7923417627,Romania
Rom_3,Rom,46.1814211866,22.2971392735,Romania
Rom_4,Rom,45.5946004383,24.8672941722,Romania
Rom_5,Rom,47.0535689968,26.7828867036,Romania
Rom_6,Rom,47.3719984594,23.8228929883,Romania
Rom_7,Rom,45.3678323353,28.099926971,Romania
Rom_8,Rom,45.801585106,23.1219993825,Romania
Rom_9,Rom,46.7951421078,27.0802228394,Romania
Rom_10,Rom,45.3266819274,24.8535593242,Romania
Rom_11,Rom,45.1709881174,27.8397645036,Romania
Rom_12,Rom,46.1089728697,25.502538447,Romania
Rom_13,Rom,45.2508917712,25.7206639235,Romania
Rom_14,Rom,44.6076842463,26.3685581566,Romania
Rom_15,Rom,43.9402273166,22.9178611086,Romania
Rom_16,Rom,46.7612091733,24.1954336226,Romania
Rom_17,Rom,44.5671725758,28.0963329495,Romania
Rom_18,Rom,44.2073573512,22.9731600248,Romania
Rom_19,Rom,46.8499366562,24.1196054913,Romania
Rom_20,Rom,46.9123973621,23.7144227685,Romania
Rom_21,Rom,44.3827108334,28.8511925841,Romania
Rom_22,Rom,44.6760457643,24.0391919642,Romania
Rom_23,Rom,45.9606170071,25.5409109941,Romania
Rom_24,Rom,45.3815854691,25.2912835736,Romania
Rom_25,Rom,44.534744656,26.0950308162,Romania
Rom_26,Rom,44.5425851079,24.7844618672,Romania
Rom_27,Rom,47.2617567308,26.2274861879,Romania
Rom_28,Rom,46.7813397158,25.0292052723,Romania
Rom_29,Rom,45.4300255141,28.224484086,Romania
Rom_30,Rom,46.0014122653,27.1318774743,Romania
Rom_31,Rom,47.8664224365,23.4640039256,Romania
Rom_32,Rom,44.8215958672,26.3469415613,Romania
Rom_33,Rom,44.7452461382,27.8223241782,Romania
Rom_34,Rom,46.9716189564,24.1432302939,Romania
Rom_35,Rom,45.9590441047,23.8955530183,Romania
Rom_36,Rom,47.0751457634,25.7003311017,Romania
Rom_37,Rom,44.0008478048,25.8382759041,Romania
Rom_38,Rom,44.514628183,24.4231221925,Romania
Rom_39,Rom,46.7183613258,26.7722937421,Romania
Rom_40,Rom,45.9580753539,23.1890355907,Romania
Rom_41,Rom,47.7068336246,26.9466710682,Romania
Rom_42,Rom,45.4934000776,22.6460052677,Romania
Rom_43,Rom,45.2584648238,28.5519170085,Romania
Rom_44,Rom,44.5255299053,23.9628510029,Romania
Rom_45,Rom,45.2293540406,27.9097758336,Romania
Rom_46,Rom,46.6620764502,24.4407355588,Romania
Rom_47,Rom,45.8483872704,24.0809994358,Romania
Rom_48,Rom,46.8035304299,23.5460499887,Romania
Rom_49,Rom,44.4837371056,28.4478356436,Romania
Rom_50,Rom,46.1139692443,23.0701626478,Romania
Rom_51,Rom,44.4858566554,26.8002045792,Romania
Rom_52,Rom,47.1939483738,27.3432637688,Romania
Rom_53,Rom,46.4661867083,22.404145023,Romania
Rom_54,Rom,46.9835694,22.8328854605,Romania
Rom_55,Rom,45.5952201653,23.1615165731,Romania
Rom_56,Rom,44.2397039571,27.5927577015,Romania
Rom_57,Rom,45.9902327357,23.0079070162,Romania
Rom_58,Rom,45.3933533695,24.771246913,Romania
Rom_59,Rom,44.8151261804,22.7158275915,Romania
Rom_60,Rom,44.4109339799,26.4680852653,Romania
Rom_61,Rom,45.4755226113,24.5590141797,Romania
Rom_62,Rom,45.3944837171,22.2101674908,Romania
Rom_63,Rom,45.7568267856,22.9055320819,Romania
Rom_64,Rom,47.4015749831,26.5145663028,Romania
Rom_65,Rom,47.3398119934,23.307456155,Romania
Rom_66,Rom,45.1739265305,23.2899521483,Romania
Rom_67,Rom,45.9016392203,21.8285312636,Romania
Rom_68,Rom,47.0960825075,23.4009928347,Romania
Rom_69,Rom,45.0692980721,23.5978555289,Romania
Rom_70,Rom,46.0586391538,24.240538625,Romania
Rom_71,Rom,44.7003850792,24.5644344782,Romania
Rom_72,Rom,45.5036787891,27.8783125454,Romania
Rom_73,Rom,45.4638625382,26.5576200238,Romania
Rom_74,Rom,45.3922763661,24.4966928451,Romania
Rom_75,Rom,47.7746758624,26.0633230274,Romania
Rom_76,Rom,46.0217418059,23.7892438172,Romania
Rom_77,Rom,44.7816297335,23.8355988772,Romania
Rom_78,Rom,45.2964635698,25.2902764865,Romania
Rom_79,Rom,45.3998271671,23.3631769218,Romania
Rom_80,Rom,45.3597104021,25.9715604068,Romania
Rom_81,Rom,47.1594783108,23.5759815081,Romania
Rom_82,Rom,45.7937557827,21.856679415,Romania
Rom_83,Rom,43.75761517,24.8044334821,Romania
Rom_84,Rom,44.61448815,22.8052642054,Romania
Rom_85,Rom,45.1697248276,28.967974972,Romania
Rom_86,Rom,44.8365405046,23.6322711661,Romania
Rom_87,Rom,46.7360790642,24.7359266017,Romania
Rom_88,Rom,45.2542945343,23.3414632642,Romania
Rom_89,Rom,47.3590357152,22.912868881,Romania
Rom_90,Rom,45.6599464101,24.787412739,Romania
Pol_1,Pol,54.8610461223,18.1030826531,Poland
Pol_2,Pol,54.0840573461,15.5016802695,Poland
Pol_3,Pol,53.2712754259,19.1066089958,Poland
Pol_4,Pol,52.8657004357,21.5691537925,Poland
Pol_5,Pol,53.943026022,14.4679372724,Poland
Pol_6,Pol,53.0020801489,19.2018427081,Poland
Pol_7,Pol,52.784253526,20.2113488616,Poland
Pol_8,Pol,52.9339764628,18.0900466375,Poland
Pol_9,Pol,52.7201632145,19.3132683254,Poland
Pol_10,Pol,52.4436998961,20.9744973558,Poland
Pol_11,Pol,53.4963579049,14.3154687414,Poland
Pol_12,Pol,53.7191881632,22.3326650698,Poland
Pol_13,Pol,52.2154579061,22.577608339,Poland
Pol_14,Pol,53.089448645,16.5667715576,Poland
Pol_15,Pol,52.524828812,20.0689004769,Poland
Pol_16,Pol,52.3386094155,21.3928754011,Poland
Pol_17,Pol,53.3253288285,14.5895880082,Poland
Pol_18,Pol,52.2148862626,20.9164522428,Poland
Pol_19,Pol,52.2174384764,20.195358512,Poland
Pol_20,Pol,52.0464891194,21.1382432719,Poland
Pol_21,Pol,52.9557284189,14.1129070287,Poland
Pol_22,Pol,52.2530177885,18.2334137129,Poland
Pol_23,Pol,54.6874647941,16.8654342856,Poland
Pol_24,Pol,52.4404398691,16.881441481,Poland
Pol_25,Pol,52.6676479726,15.0733028433,Poland
Pol_26,Pol,52.2806358939,16.9910342053,Poland
Pol_27,Pol,52.2470790733,16.606108968,Poland
Pol_28,Pol,51.5893735528,21.4439963326,Poland
Pol_29,Pol,51.3773132957,23.4209797831,Poland
Pol_30,Pol,51.450548079,21.8497652068,Poland
Pol_31,Pol,51.8145622362,18.6272384855,Poland
Pol_32,Pol,51.7499591388,18.9847822012,Poland
Pol_33,Pol,51.6888326951,19.3034057882,Poland
Pol_34,Pol,53.9826677936,20.6017768924,Poland
Pol_35,Pol,51.6554223731,18.945505838,Poland
Pol_36,Pol,51.3682305752,21.257520955,Poland
Pol_37,Pol,51.2615616439,22.4496150183,Poland
Pol_38,Pol,51.2366928464,22.2911396656,Poland
Pol_39,Pol,51.8747857648,16.6451944314,Poland
Pol_40,Pol,51.1546467573,22.9926027756,Poland
Pol_41,Pol,51.3458455243,19.5527485816,Poland
Pol_42,Pol,51.1240645194,21.3214140035,Poland
Pol_43,Pol,51.4661252461,17.3686264844,Poland
Pol_44,Pol,51.2835133677,18.7119484467,Poland
Pol_45,Pol,54.2890708335,18.6936220642,Poland
Pol_46,Pol,51.6343701492,15.9561734876,Poland
Pol_47,Pol,50.9273342224,23.5547958298,Poland
Pol_48,Pol,51.6544751737,15.4358966482,Poland
Pol_49,Pol,51.4780944928,16.2000913625,Poland
Pol_50,Pol,50.8542858352,20.479256373,Poland
Pol_51,Pol,50.7457191387,21.8648955942,Poland
Pol_52,Pol,51.0181522677,18.6698853957,Poland
Pol_53,Pol,51.1240610674,17.0973449904,Poland
Pol_54,Pol,50.7581647128,20.1354798386,Poland
Pol_55,Pol,51.1976129728,16.069081933,Poland
Pol_56,Pol,54.2663633357,18.4504479416,Poland
Pol_57,Pol,50.8459333675,18.8042222602,Poland
Pol_58,Pol,50.5894317046,21.3368638627,Poland
Pol_59,Pol,50.6222167682,20.5561227828,Poland
Pol_60,Pol,50.7802878679,18.5551097534,Poland
Pol_61,Pol,50.9461074601,16.7135560613,Poland
Pol_62,Pol,50.6987824567,18.5771722955,Poland
Pol_63,Pol,50.4657501626,21.0772054304,Poland
Pol_64,Pol,50.5623525071,19.2572057873,Poland
Pol_65,Pol,51.0334930491,14.9317064621,Poland
Pol_66,Pol,50.503199538,19.0515190937,Poland
Pol_67,Pol,53.6600431459,20.4951083392,Poland
Pol_68,Pol,50.2966641193,20.7143594913,Poland
Pol_69,Pol,50.7549437593,16.1390620321,Poland
Pol_70,Pol,50.3161056557,20.1319732168,Poland
Pol_71,Pol,50.422188642,18.862167717,Poland
Pol_72,Pol,50.19939494,21.8805848181,Poland
Pol_73,Pol,50.8280221685,15.3613255,Poland
Pol_74,Pol,50.510677755,17.8845027811,Poland
Pol_75,Pol,50.3720524218,19.1495489251,Poland
Pol_76,Pol,50.5789094751,16.7653371567,Poland
Pol_77,Pol,50.1309770377,21.5877672055,Poland
Pol_78,Pol,53.0036158546,23.2070870045,Poland
Pol_79,Pol,50.2638214403,19.5949917271,Poland
Pol_80,Pol,50.1949157236,19.8542951119,Poland
Pol_81,Pol,50.6100578027,15.9066404044,Poland
Pol_82,Pol,50.3105331785,18.4696560026,Poland
Pol_83,Pol,50.1123251068,20.7817502438,Poland
Pol_84,Pol,50.3315887905,18.1075723211,Poland
Pol_85,Pol,50.1721740886,19.3163886335,Poland
Pol_86,Pol,50.2302739885,18.5252890139,Poland
Pol_87,Pol,50.1409888459,18.6417069748,Poland
Pol_88,Pol,53.9440391343,16.678110103,Poland
Pol_89,Pol,49.8951584282,21.6547171088,Poland
Pol_90,Pol,50.0060883226,19.5958311536,Poland
Pol_91,Pol,50.1040422206,18.2681202104,Poland
Pol_92,Pol,49.9783268701,19.2039009587,Poland
Pol_93,Pol,49.899639665,19.2921438278,Poland
Pol_94,Pol,49.9058401888,18.3529563111,Poland
Pol_95,Pol,50.0319674552,18.8855128138,Poland
Net_1,Net,53.6196581439,6.68244958438,Netherland
Net_2,Net,51.7559070848,4.15193860291,Netherland
Net_3,Net,51.7881026311,4.8078216413,Netherland
Net_4,Net,52.3231905554,6.58458551953,Netherland
Net_5,Net,51.3231509955,5.62526855726,Netherland
Net_6,Net,53.1192754926,6.88112913583,Netherland
Net_7,Net,53.3859726364,6.74609595419,Netherland
Net_8,Net,52.6063098874,5.98692686801,Netherland
Net_9,Net,52.3998584229,4.7451164236,Netherland
Net_10,Net,52.3141547468,5.03857733989,Netherland
Net_11,Net,52.1232223495,6.15990014837,Netherland
Net_12,Net,51.9970258253,4.26220485834,Netherland
Net_13,Net,51.9560892216,5.61334726177,Netherland
Net_14,Net,51.9367412801,4.66918336433,Netherland
Net_15,Net,51.7191065461,5.67469064662,Netherland
Net_16,Net,53.2815578651,6.97916923067,Netherland
Net_17,Net,51.5374659789,5.4882341116,Netherland
Net_18,Net,51.0926446257,5.73909323449,Netherland
Net_19,Net,53.225743731,6.44105799012,Netherland
Net_20,Net,53.1577873442,5.92313086716,Netherland
Net_21,Net,53.0170548286,6.4371349217,Netherland
Net_22,Net,52.9377768745,5.86192373838,Netherland
Net_23,Net,52.6372611134,5.68305189041,Netherland
Net_24,Net,52.6204338956,6.23135209946,Netherland
Net_25,Net,51.5500553574,4.3296919798,Netherland
Lux_1,Lux,49.9630882491,6.05059023502,Luxemburg
Lux_2,Lux,49.7930937784,6.09523384033,Luxemburg
Lux_3,Lux,49.6301147464,6.0098623624,Luxemburg
Hun_1,Hun,48.6460585018,22.65295472,Hungary
Hun_2,Hun,48.8411009714,21.5309549827,Hungary
Hun_3,Hun,47.7051530299,19.042285178,Hungary
Hun_4,Hun,47.6448834981,20.120700484,Hungary
Hun_5,Hun,47.6633957156,19.604963498,Hungary
Hun_6,Hun,47.7526418925,17.4167363028,Hungary
Hun_7,Hun,47.7101804677,18.0997497707,Hungary
Hun_8,Hun,47.6521578361,18.7883490717,Hungary
Hun_9,Hun,47.5196256536,18.5733502687,Hungary
Hun_10,Hun,46.9904433283,22.0348011423,Hungary
Hun_11,Hun,47.3465928369,17.8893965113,Hungary
Hun_12,Hun,47.2595062711,18.83325156,Hungary
Hun_13,Hun,48.757078061,20.3017638612,Hungary
Hun_14,Hun,46.8870655829,20.9918100618,Hungary
Hun_15,Hun,46.9153621802,18.7418444529,Hungary
Hun_16,Hun,46.9591096341,17.1137689325,Hungary
Hun_17,Hun,46.7118820603,20.6261809076,Hungary
Hun_18,Hun,46.5934371411,17.8756395212,Hungary
Hun_19,Hun,48.7023290009,20.9724436342,Hungary
Hun_20,Hun,48.6844187804,20.5619020774,Hungary
Hun_21,Hun,48.5313950556,20.7892962094,Hungary
Hun_22,Hun,48.3012398412,21.4244344894,Hungary
Hun_23,Hun,48.1719308359,19.7733073245,Hungary
Hun_24,Hun,48.0218520941,19.0042064181,Hungary
Hun_25,Hun,47.8741793012,19.0207775874,Hungary
Ger_1,Ger,54.8218227818,10.0934904868,Germany
Ger_2,Ger,49.4649594313,6.85148690984,Germany
Ger_3,Ger,48.106374984,12.4487064115,Germany
Ger_4,Ger,53.434777592,7.95855003614,Germany
Ger_5,Ger,53.1798635807,7.19168735235,Germany
Ger_6,Ger,48.08049613,7.68899224426,Germany
Ger_7,Ger,47.6619448355,8.13761633079,Germany
Ger_8,Ger,52.30921474,6.91136295804,Germany
Ger_9,Ger,47.573107654,7.86899590753,Germany
